area_id,name_en,name_el,type,district,parent_id,latitude,longitude,search_radius_km,priority,confidence
CY,Cyprus,Cyprus,country,,,35.126413,33.429859,200,6,approx
D1,Nicosia District,Lefkosia,district,Nicosia,,35.1855659,33.3822764,25,5,high
D3,Famagusta District,Ammochostos,district,Famagusta,,35.1208296,33.9382218,25,5,high
D4,Larnaca District,Larnaka,district,Larnaca,,34.9182222,33.6200625,25,5,high
D5,Limassol District,Lemesos,district,Limassol,,34.6786322,33.0413055,25,5,high
D6,Paphos District,Pafos,district,Paphos,,34.7753949,32.4217786,25,5,high
M1000,Lefkosia,Nicosia,municipality,Nicosia,D1,35.1855659,33.3822764,8,4,high
M1010,Agios Dometios,Ayios Dhometios,municipality,Nicosia,D1,35.1720362,33.3379981,8,4,high
M1011,Engomi,Egkomi,municipality,Nicosia,D1,35.1538229,33.3169542,8,4,high
M1012,Strovolos,Strovolos,municipality,Nicosia,D1,35.1436629,33.3437909,8,4,high
M1013,Aglantzia,Aglantzia,municipality,Nicosia,D1,35.1498034,33.394086,8,4,high
M1021,Lakatameia,Lakatamia,municipality,Nicosia,D1,35.1185656,33.3145382,8,4,high
M1022,Tseri,Tseri,municipality,Nicosia,D1,35.0707866,33.3247626,8,4,high
M1023,Latsia,Latsia,municipality,Nicosia,D1,35.1044936,33.3843703,8,4,high
M1024,Geri,Geri,municipality,Nicosia,D1,35.1075703,33.422429,8,4,high
M1107,Dali,Dali (Idalion),municipality,Nicosia,D1,35.0195632,33.4192946,8,4,high
QN01,Agios Andreas,Ayios Andreas,quarter,Nicosia,M1000,35.1735,33.37,1.5,2,approx
QN02,Trypiotis,Trypiotis,quarter,Nicosia,M1000,35.1715,33.3635,1.5,2,approx
QN03,Phaneromeni,Phaneromeni,quarter,Nicosia,M1000,35.173468,33.362517,1.5,2,high
QN04,Agios Savvas,Ayios Savvas,quarter,Nicosia,M1000,35.1713806,33.363386,1.5,2,high
QN05,Omerie,Omerie,quarter,Nicosia,M1000,35.172,33.364,1.5,2,approx
QN06,Agios Antonios,Ayios Antonios,quarter,Nicosia,M1000,35.168,33.366,1.5,2,approx
QN07,Agios Ioannis,Ayios Ioannis,quarter,Nicosia,M1000,35.1695,33.369,1.5,2,approx
QN08,Chrysaliniotissa,Chrysaliniotissa,quarter,Nicosia,M1000,35.1766276,33.3707065,1.5,2,high
QN09,Agios Kassianos,Ayios Kassianos,quarter,Nicosia,M1000,35.174,33.372,1.5,2,approx
QN10,Kaimakli,Kaimakli,quarter,Nicosia,M1000,35.1801,33.3847,1.5,2,approx
QN11,Panagia-Pallouriotissa,Panagia,quarter,Nicosia,M1000,35.1742143,33.3794717,1.5,2,high
QN12,Agioi Konstantinos kai Eleni,Konstantinos & Eleni,quarter,Nicosia,M1000,35.176,33.38,1.5,2,approx
QN13,Agioi Omologites,Ayioi Omoloyites,quarter,Nicosia,M1000,35.165,33.368,1.5,2,approx
QN14,Laiki Geitonia,Laiki Geitonia,quarter,Nicosia,M1000,35.1699339,33.362512,1.5,2,high
QS01,Chryseleousa,Chryseleousa,parish,Nicosia,M1012,35.1465,33.343,1.2,1,approx
QS02,Agios Demetrios,Ayios Demetrios,parish,Nicosia,M1012,35.1518316,33.3570312,1.2,1,high
QS03,Apostolos Varnavas,Apostolos Varnavas & Agios Makarios,parish,Nicosia,M1012,35.14,33.345,1.2,1,approx
QS04,Agios Vasileios,Ayios Vasileios,parish,Nicosia,M1012,35.135,33.342,1.2,1,approx
QS05,Kyprianos,Kyprianos,parish,Nicosia,M1012,35.148,33.35,1.2,1,approx
QS06,Stavros,Stavros,parish,Nicosia,M1012,35.144,33.338,1.2,1,approx
QL01,Agia Paraskevi,Ayia Paraskevi,parish,Nicosia,M1021,35.12,33.315,1.2,1,approx
QL02,Agios Nikolaos,Ayios Nikolaos,parish,Nicosia,M1021,35.118,33.317,1.2,1,approx
QL03,Agios Mamas,Ayios Mamas,parish,Nicosia,M1021,35.116,33.312,1.2,1,approx
QL04,Archangelos-Anthoupoli,Archangelos-Anthoupoli,parish,Nicosia,M1021,35.123,33.31,1.2,1,approx
QD01,Agios Georgios (Dometiou),Ayios Yeorgios,parish,Nicosia,M1010,35.171,33.336,1.2,1,approx
QD02,Agios Pavlos (Dometiou),Ayios Pavlos,parish,Nicosia,M1010,35.1735,33.34,1.2,1,approx
M4000,Larnaka,Larnaca,municipality,Larnaca,D4,34.9182222,33.6200625,8,4,high
M4010,Aradippou,Aradhippou,municipality,Larnaca,D4,34.9521888,33.5908529,8,4,high
M4011,Livadia,Livadhia,municipality,Larnaca,D4,34.9490765,33.6275272,8,4,high
M4014,Dromolaxia-Meneou,Dromolaxia-Meneou,municipality,Larnaca,D4,34.8761451,33.5857563,8,4,high
M4202,Athienou,Athienou,municipality,Larnaca,D4,35.0617995,33.5399098,8,4,high
M4311,Pano Lefkara,Pano Lefkara,municipality,Larnaca,D4,34.8673535,33.3053345,8,4,high
QLA01,Skala,Skala,quarter,Larnaca,M4000,34.908,33.638,1.5,2,approx
QLA02,Chrysopolitissa,Chrysopolitissa,quarter,Larnaca,M4000,34.92,33.62,1.5,2,approx
QLA03,Sotiros,Sotiros,quarter,Larnaca,M4000,34.915,33.628,1.5,2,approx
QLA04,Agios Nikolaos,Agios Nikolaos,quarter,Larnaca,M4000,34.922,33.63,1.5,2,approx
QLA05,Agioi Anargyroi,Agioi Anargyroi,quarter,Larnaca,M4000,34.917,33.622,1.5,2,approx
QLA06,Mackenzie,Mackenzie,quarter,Larnaca,M4000,34.8899659,33.6375088,1.5,2,high
M5000,Lemesos,Limassol,municipality,Limassol,D5,34.6786322,33.0413055,8,4,high
M5011,Mesa Geitonia,Mesa Yitonia,municipality,Limassol,D5,34.6982601,33.0455093,8,4,high
M5012,Agios Athanasios,Ayios Athanasios,municipality,Limassol,D5,34.7109373,33.0597452,8,4,high
M5013,Germasogeia,Yermasoyia,municipality,Limassol,D5,34.721447,33.0845703,8,4,high
M5022,Kato Polemidia,Kato Polemidhia,municipality,Limassol,D5,34.6764943,32.9955508,8,4,high
M5025,Ypsonas,Ypsonas,municipality,Limassol,D5,34.6882836,32.9612103,8,4,high
M6000,Pafos,Paphos,municipality,Paphos,D6,34.7753949,32.4217786,8,4,high
M6010,Geroskipou,Yeroskipou,municipality,Paphos,D6,34.7600248,32.4533949,8,4,high
M6133,Pegeia,Peyia,municipality,Paphos,D6,34.8545182,32.3635387,8,4,high
M6343,Polis,Polis Chrysochous,municipality,Paphos,D6,35.0339911,32.4254795,8,4,high
M3100,Agia Napa,Ayia Napa,municipality,Famagusta,D3,34.9814559,34.0005988,8,4,high
M3101,Paralimni,Paralimni,municipality,Famagusta,D3,35.0351,33.981,8,4,approx
M3102,Deryneia,Dherynia,municipality,Famagusta,D3,35.0679739,33.9670742,8,4,high
M3103,Sotira,Sotira,municipality,Famagusta,D3,35.0284699,33.9513191,8,4,high
C4104,Pyla,Pyla,community,Larnaca,D4,35.0134077,33.6922186,3.0,3,high
C4110,Kiti,Kiti,community,Larnaca,D4,34.8464781,33.5727305,3.0,3,high
C4111,Perivolia,Perivolia,community,Larnaca,D4,34.828698,33.5798536,3.0,3,high
C4118,Oroklini,Oroklini,community,Larnaca,D4,34.9828802,33.6558907,3.0,3,high
C5124,Agios Tychon,Ayios Tykhon,community,Limassol,D5,34.7252435,33.1382761,3.0,3,high
C5125,Parekklisia,Pareklisia,community,Limassol,D5,34.7435844,33.1600766,3.0,3,high
C5127,Monagroulli,Monagroulli,community,Limassol,D5,34.7195737,33.2269319,3.0,3,high
C5128,Moni,Moni,community,Limassol,D5,34.7390692,33.2012827,3.0,3,high
C5210,Kolossi,Kolossi,community,Limassol,D5,34.670786,32.9338168,3.0,3,high
C5211,Erimi,Erimi,community,Limassol,D5,34.6818602,32.9202321,3.0,3,high
C5212,Episkopi,Episkopi,community,Limassol,D5,34.6629595,32.8909521,3.0,3,high
C5227,Pissouri,Pissouri,community,Limassol,D5,34.6767071,32.6992551,3.0,3,high
C5351,Pano Platres,Pano Platres,community,Limassol,D5,34.8880353,32.8643444,3.0,3,high
C6020,Chlorakas,Chlorakas,community,Paphos,D6,34.8036118,32.3974514,3.0,3,high
C6022,Emba,Empa,community,Paphos,D6,34.8099351,32.4230508,3.0,3,high
C6011,Konia,Konia,community,Paphos,D6,34.7851789,32.4588099,3.0,3,high
C6027,Kissonerga,Kissonerga,community,Paphos,D6,34.8232973,32.4019769,3.0,3,high
C6132,Kathikas,Kathikas,community,Paphos,D6,34.9061548,32.4147687,3.0,3,high
C1404,Kakopetria,Kakopetria,community,Nicosia,D1,34.9899859,32.9036838,3.0,3,high
C3105,Frenaros,Frenaros,community,Famagusta,D3,35.0432562,33.924892,3.0,3,high
C4125,Alethriko,Αλεθρικό,community,Larnaca,,34.858108,33.4949181,3.0,3,high
C4127,Anglisides,Αγγλισίδες,community,Larnaca,,34.8534791,33.4565974,3.0,3,high
C4106,Ormideia,Ορμίδεια,community,Larnaca,,34.9923198,33.7791944,3.0,3,high
C4215,Kornos,Κόρνος,community,Larnaca,,34.9225644,33.3964523,3.0,3,high
C4212,Mosfiloti,Μοσφιλωτή,community,Larnaca,,34.9506826,33.4287225,3.0,3,high
C5213,Kantou,Καντού,community,Limassol,,34.690707,32.9074208,3.0,3,high
C5200,Akrotiri,Ακρωτήρι,community,Limassol,,34.6016136,32.9557945,3.0,3,high
C5201,Asomatos,Ασώματος,community,Limassol,,34.6379699,32.9573383,3.0,3,high
C5120,Mouttagiaka,Μουτταγιάκα,community,Limassol,,34.7207324,33.1007555,3.0,3,high
C5369,Kyperounta,Κυπερούντα,community,Limassol,,34.9413473,32.9681108,3.0,3,high
C6025,Mesogi,Μεσόγη,community,Paphos,,34.8152492,32.4542226,3.0,3,high
C6024,Mesa Chorio,Μέσα Χωριό,community,Paphos,,34.8090289,32.4616974,3.0,3,high
C6021,Lempa,Λέμπα,community,Paphos,,34.8085959,32.4084564,3.0,3,high
C6100,Kouklia,Κούκλια,community,Paphos,,34.7085249,32.5768112,3.0,3,high
C1243,Kokkinotrimithia,Κοκκινοτριμιθιά,community,Nicosia,,35.1528299,33.200104,3.0,3,high
C1241,Palaiometocho,Παλαιομέτοχο,community,Nicosia,,35.1268061,33.1921206,3.0,3,high
C1244,Mammari,Μάμμαρη,community,Nicosia,,35.1756676,33.2048502,3.0,3,high
C1109,Lythrodontas,Λυθροδόντας,community,Nicosia,,34.9506716,33.2950563,3.0,3,high
C1108,Lympia,Λύμπια,community,Nicosia,,34.9977688,33.4622194,3.0,3,high
C1227,Pera,Πέρα,community,Nicosia,,35.0327877,33.2555371,3.0,3,high
C1233,Kato Deftera,Κάτω Δευτερά,community,Nicosia,,35.084871,33.2764365,3.0,3,high
C1232,Pano Deftera,Πάνω Δευτερά,community,Nicosia,,35.0789079,33.2639623,3.0,3,high
C3104,Liopetri,Λιοπέτρι,community,Famagusta,,35.0096685,33.8929049,3.0,3,high
C3110,Avgorou,Αυγόρου,community,Famagusta,,35.0370977,33.8401219,3.0,3,high
C3111,Dasaki Achnas,Δασάκι Άχνας,community,Famagusta,,35.0349954,33.7688543,3.0,3,high
C3114,Acheritou,Αχερίτου,community,Famagusta,,35.04,33.8,3.0,3,high
C4128,Xylofagou,Ξυλοφάγου,community,Larnaca,,34.9761878,33.8487527,3.0,3,high
C4129,Tersefanou,Τερσεφάνου,community,Larnaca,,34.8548906,33.546903,3.0,3,high
C4306,Maroni,Μαρώνι,community,Larnaca,,34.7572546,33.3573334,3.0,3,high
C4305,Psematismenos,Ψεματισμένος,community,Larnaca,,34.7676625,33.3461719,3.0,3,high
C4308,Zygi,Ζύγι,community,Larnaca,,34.7276131,33.3349628,3.0,3,high
C4302,Kalavasos,Καλαβασός,community,Larnaca,,34.7717166,33.296221,3.0,3,high
C4304,Choirokoitia,Χοιροκοιτία,community,Larnaca,,34.7966222,33.33558,3.0,3,high
C4309,Kofinou,Κοφίνου,community,Larnaca,,34.8256084,33.3893174,3.0,3,high
C4310,Kato Lefkara,Κάτω Λεύκαρα,community,Larnaca,,34.8633533,33.3146816,3.0,3,high
C4313,Skarinou,Σκαρίνου,community,Larnaca,,34.8214575,33.3590151,3.0,3,high
C5100,Palodeia,Παλόδεια,community,Limassol,,34.7448585,33.0057813,3.0,3,high
C5020,Pano Polemidia,Πάνω Πολεμίδια,community,Limassol,,34.7098925,32.9920604,3.0,3,high
C5126,Pentakomo,Πεντάκωμο,community,Limassol,,34.7389467,33.2412373,3.0,3,high
C5214,Trachoni,Τραχώνι,community,Limassol,,34.6564381,32.9628149,3.0,3,high
C5330,Omodos,Όμοδος,community,Limassol,,34.8489219,32.8077875,3.0,3,high
C5366,Agros,Αγρός,community,Limassol,,34.9173092,33.0177292,3.0,3,high
C5365,Pelendri,Πελένδρι,community,Limassol,,34.8959786,32.96608,3.0,3,high
C5352,Foini,Φοινί,community,Limassol,,34.8938825,32.8365745,3.0,3,high
C5222,Avdimou,Αυδήμου,community,Limassol,,34.6926313,32.7631264,3.0,3,high
C5226,Anogyra,Ανώγυρα,community,Limassol,,34.7392189,32.7335508,3.0,3,high
C5331,Koilani,Κοιλάνι,community,Limassol,,34.8437635,32.8609064,3.0,3,high
C5332,Vouni,Βουνί,community,Limassol,,34.8230959,32.8338836,3.0,3,high
C5307,Lofou,Λόφου,community,Limassol,,34.8141177,32.8749029,3.0,3,high
C5322,Arsos,Άρσος,community,Limassol,,34.8408991,32.7690824,3.0,3,high
C5314,Monagri,Μονάγρι,community,Limassol,,34.8092578,32.9109593,3.0,3,high
C5313,Silikou,Σιλίκου,community,Limassol,,34.8324613,32.8901075,3.0,3,high
C6123,Polemi,Πολέμι,community,Paphos,,34.8857342,32.5076477,3.0,3,high
C6126,Stroumpi,Στρουμπί,community,Paphos,,34.8839902,32.4825424,3.0,3,high
C6122,Tsada,Τσάδα,community,Paphos,,34.8386369,32.4748826,3.0,3,high
C6103,Timi,Τίμη,community,Paphos,,34.7316274,32.516408,3.0,3,high
C6023,Tala,Τάλα,community,Paphos,,34.8388506,32.4348263,3.0,3,high
C6344,Neo Chorio,Νέο Χωριό,community,Paphos,,35.0255348,32.3626089,3.0,3,high
C6365,Agia Marina,Αγία Μαρίνα,community,Paphos,,35.119776,32.5132347,3.0,3,high
C6353,Drouseia,Δρούσεια,community,Paphos,,34.9627965,32.3975751,3.0,3,high
C6363,Argaka,Αργάκα,community,Paphos,,35.0656694,32.4890747,3.0,3,high
C6364,Gialia,Γιαλιά,community,Paphos,,35.0959515,32.532579,3.0,3,high
T3101A,Protaras,Πρωταράς,tourist_area,Famagusta,M3101,35.0120718,34.0562252,2.5,3,high
T3101B,Pernera,Πέρνερα,tourist_area,Famagusta,M3101,35.0267,34.053,2.5,3,high
T3101C,Kapparis,Κάππαρης,tourist_area,Famagusta,M3101,35.0418,34.0306,2.5,3,high
T6133A,Coral Bay,Κοράλλια,tourist_area,Paphos,M6133,34.8586998,32.3662796,2.5,3,high
T6000A,Kato Paphos,Κάτω Πάφος,tourist_area,Paphos,M6000,34.7624026,32.4178371,2.5,3,high
T5013A,Dasoudi,Δασούδι,tourist_area,Limassol,M5013,34.705,33.07,2.5,3,high
T5013B,Potamos Germasogeias,Ποταμός Γερμασόγειας,tourist_area,Limassol,M5013,34.718,33.09,2.5,3,high
